,ASSET_DATABASE_ID,LAST_CLOSE_VALUE_IN_CURR
0,1845,36.851
1,1846,40.9
2,2122,39.37
3,2123,1670.65
4,1847,31.7
5,1848,32.81
6,1849,6.73
7,2154,17.86653047326668
8,2156,33.712376574726
9,2127,11.7673
10,2128,35.7738
11,2129,90.93
12,1850,16.18
13,2131,98.8
14,2062,101.30234933602678
15,1429,37.42
16,1851,1.2
17,1852,5.59
18,2063,32.89921688797105
19,1430,115.921
20,1853,15.7
21,2064,85.15491998635508
22,1431,106.75
23,1856,4.543
24,1857,7.8
25,1858,36.29
26,2132,2045.03
27,1432,122116.3
28,2133,1833.23
29,2134,321.71
30,1859,0.35
31,1433,55.94
32,1860,7.206
33,1434,96.83
34,2065,122.574055158288
35,2135,133.3
36,1861,5.651
37,1862,31.0
38,1863,20.01
39,1864,61.35
40,1865,14.07
41,1866,13.75
42,2066,82.1161048688892
43,2136,195.7
44,2137,164.96
45,2138,229.2
46,1439,2559.96
47,1441,2118.36
48,1868,15.01
49,2067,637.0956758595295
50,1869,0.49
51,1443,22.535
52,1870,10.88
53,1871,166.0
54,1872,58.49
55,2139,130.46
56,2140,137.54
57,1873,13.305
58,2068,54.77528089885995
59,1874,3.394
60,2141,229.76
61,1444,41.47
62,1875,31.43
63,1876,26.74
64,2142,403.56
65,2143,786.3
66,2144,159.47
67,2145,167.25
68,2146,120.96
69,2147,224.06
70,2148,189.71
71,2149,123.16
72,1877,8.785
73,2150,166.13
74,2151,12.64
75,2152,136.96
76,2153,631.64
77,2157,200.85120871631693
78,2158,104.16241062305349
79,2159,9.074906367038471
80,2160,20.726932243779952
81,1878,45.351
82,1880,114.4
83,1881,35.025
84,1882,11.51
85,1883,5.99
86,1884,4.295
87,1885,1.6
88,1887,74.12
89,1888,2.35
90,1889,4221.01
91,1890,10.37
92,1891,35.96
93,1445,88.95
94,1892,23.84
95,1893,4.218
96,1894,11.205
97,2072,32.96731358528121
98,1446,81.37
99,1896,11.55
100,1897,22.68
101,1898,1.19
102,1899,5.36
103,1900,45.03
104,1901,0.06
105,1450,22.39
106,1451,464.72
107,1902,21.0
108,2073,150.2638747020318
109,1903,4.214
110,1905,4.352
111,1907,2.914
112,1908,4.168
113,1453,4.172
114,1909,5.122
115,1455,207.8996
116,1910,62.0
117,1911,104.95
118,1456,69.55
119,1912,19.65
120,1457,86.25
121,1463,74.0
122,1458,5.841
123,2074,142.18590398361408
124,1913,39.32
125,1914,29.47
126,1915,9.604
127,2075,120.86312563837024
128,1916,98.7
129,1558,2110.772
130,1917,5.12
131,1918,4.63
132,1919,118.4
133,1921,16.02
134,2162,2014.6646
135,2163,1362.497
136,1464,48.86
137,1465,2049.89
138,1922,3.25
139,1923,27.82
140,1924,23.38
141,1925,12.25
142,1926,29.01
143,1927,52.0
144,1468,19.325
145,1928,819.49
146,1929,4.65
147,1930,17.92
148,1931,105.0
149,2164,39.09
150,2165,10910.5
151,2166,4475.39
152,2167,2208.985
153,2168,8690.75
154,2169,6293.2
155,2170,15938.62
156,2171,11156.54
157,2172,16370.62
158,2173,13320.88
159,1932,28.855
160,1933,8.6
161,1934,88.0
162,1935,2.447
163,1936,50.35
164,2076,0.0146407899216844
165,2077,50.28941096355316
166,1939,22.2
167,1474,85.02
168,1941,34.59
169,1942,25.17
170,1475,24.085
171,1476,53.01
172,1943,3.3
173,1944,14.6
174,2078,61.51685393256579
175,1945,3.63
176,2174,1323.2
177,1946,29.2
178,1947,0.39
179,1948,26.0
180,1949,37.3
181,1950,29.03
182,2079,5.3626149131751
183,1953,84.33
184,1956,9.77
185,1957,12.0
186,2080,3.7197820905674903
187,2081,86.082737487206
188,1958,145.95
189,1959,0.09
190,1960,16.86
191,2082,24.5999319032953
192,1961,32.0
193,1962,98.15
194,1963,15.17
195,2083,38.049029622051904
196,1964,2.12
197,1965,134.5
198,2084,60.606060606042405
199,1966,7.572
200,1967,15.7
201,1481,190.5
202,1968,7.148
203,2085,129.82635342182004
204,1969,79.9
205,1970,26.3
206,1484,402.93
207,1485,125626.9
208,1486,110499.1
209,1487,20657.21
210,1971,57.0
211,1489,8.837
212,1972,5.56
213,1490,26.785
214,1973,4.02
215,2086,97.14845080010701
216,1975,13.32
217,1491,60.35
218,1976,21.4
219,1604,92.6
220,1492,62.88
221,1493,986.9
222,1494,71.54
223,1977,15.94
224,1978,8.72
225,1591,146.2
226,1979,60.0
227,1564,1518.56
228,1980,3.69
229,1982,21.14
230,1983,40.29
231,1985,40.29
232,1986,2.51
233,1495,15.715
234,1987,12.355
235,1988,26.251
236,1496,15.786
237,1989,4.332
238,1990,43.0
239,1992,18.2
240,1994,28.23
241,1995,55.5
242,1996,5.328
243,1998,4.95
244,1999,68.28
245,1497,8.56
246,2088,62.921348314587846
247,2000,25.1
248,2001,17.7
249,2002,5.4125
250,1498,1009.64
251,1499,1152.93
252,1500,1154.99
253,1501,130.59
254,1504,298.65
255,1505,182477.97
256,1507,16.575
257,2003,11.735
258,2089,60.92100783110189
259,2004,6.875
260,1509,138.08
261,2090,84.98467824307968
262,2005,3.02
263,1514,66.81
264,2006,4.07
265,2007,3.53
266,2008,93.0
267,2009,12.05
268,2010,19.988
269,1515,141.41368743611687
270,2011,26.565
271,2012,2.51
272,1516,4.038
273,1561,13.55
274,1517,13.54
275,2013,47.31
276,1518,140.824639
277,1519,140.825381
278,1520,131.436587
279,1521,140.8599
280,2014,3.12
281,2015,29.45
282,1522,23.62
283,2017,29.15
284,2018,104.0
285,2019,6.425
286,1529,118.25
287,2020,41.68
288,2091,79.15389853589723
289,2021,57.77
290,2022,0.985
291,2024,100.0
292,2025,347.0
293,2026,17.0
294,1538,27.39
295,2027,9.2
296,2028,4.08
297,1541,1715.05
298,1542,4577.680456246498
299,1544,185.6315
300,2182,676.11
