,ASSET_DATABASE_ID,TYPE
0,1845,STOCK
1,1846,STOCK
2,2122,FUND
3,2123,FUND
4,1847,STOCK
5,1848,STOCK
6,1849,STOCK
7,2154,FUND
8,2156,FUND
9,2127,FUND
10,2128,FUND
11,2129,FUND
12,1850,STOCK
13,2131,FUND
14,2062,STOCK
15,1429,STOCK
16,1851,STOCK
17,1852,STOCK
18,2063,STOCK
19,1430,STOCK
20,1853,STOCK
21,2064,STOCK
22,1431,STOCK
23,1856,STOCK
24,1857,STOCK
25,1858,STOCK
26,2132,FUND
27,1432,FUND
28,2133,FUND
29,2134,FUND
30,1859,STOCK
31,1433,STOCK
32,1860,STOCK
33,1434,STOCK
34,2065,STOCK
35,2135,FUND
36,1861,STOCK
37,1862,STOCK
38,1863,STOCK
39,1864,STOCK
40,1865,STOCK
41,1866,STOCK
42,2066,STOCK
43,2136,FUND
44,2137,FUND
45,2138,FUND
46,1439,FUND
47,1441,FUND
48,1868,STOCK
49,2067,STOCK
50,1869,STOCK
51,1443,STOCK
52,1870,STOCK
53,1871,STOCK
54,1872,STOCK
55,2139,FUND
56,2140,FUND
57,1873,STOCK
58,2068,STOCK
59,1874,STOCK
60,2141,FUND
61,1444,STOCK
62,1875,STOCK
63,1876,STOCK
64,2142,FUND
65,2143,FUND
66,2144,FUND
67,2145,FUND
68,2146,FUND
69,2147,FUND
70,2148,FUND
71,2149,FUND
72,1877,STOCK
73,2150,FUND
74,2151,FUND
75,2152,FUND
76,2153,FUND
77,2157,ETF FUND
78,2158,ETF FUND
79,2159,ETF FUND
80,2160,FUND
81,1878,STOCK
82,1880,STOCK
83,1881,STOCK
84,1882,STOCK
85,1883,STOCK
86,1884,STOCK
87,1885,STOCK
88,1887,STOCK
89,1888,STOCK
90,1889,STOCK
91,1890,STOCK
92,1891,STOCK
93,1445,STOCK
94,1892,STOCK
95,1893,STOCK
96,1894,STOCK
97,2072,STOCK
98,1446,STOCK
99,1896,STOCK
100,1897,STOCK
101,1898,STOCK
102,1899,STOCK
103,1900,STOCK
104,1901,STOCK
105,1450,STOCK
106,1451,FUND
107,1902,STOCK
108,2073,STOCK
109,1903,STOCK
110,1905,STOCK
111,1907,STOCK
112,1908,STOCK
113,1453,STOCK
114,1909,STOCK
115,1455,INDEX
116,1910,STOCK
117,1911,STOCK
118,1456,STOCK
119,1912,STOCK
120,1457,STOCK
121,1463,STOCK
122,1458,STOCK
123,2074,STOCK
124,1913,STOCK
125,1914,STOCK
126,1915,STOCK
127,2075,STOCK
128,1916,STOCK
129,1558,INDEX
130,1917,STOCK
131,1918,STOCK
132,1919,STOCK
133,1921,STOCK
134,2162,INDEX
135,2163,INDEX
136,1464,STOCK
